haploidn,tips,sim
17,C3118,11
17,Calparcri,11
18,FGA513,11
16,FGA456,11
17,FGA465,11
17,F12278,11
17,FGA331,11
18,Furant,11
18,FGA581,11
18,FGA15,11
18,FGA99,11
18,F2241,11
18,Furang,11
17,FGA490,11
18,Furpol,11
18,Furcep,11
18,F1476,11
18,FGA104,11
18,FGA489,11
17,F3015,11
19,FGA174,11
17,FurbGB,11
16,FGA379,11
19,Tribit,11
19,Trihoe,11
19,Trijac,11
18,Trijoh,11
19,Trimel,11
17,Triowe,11
17,Tricri,11
16,Triwie,11
16,Triqua,11
19,Kinboe,11
20,Kinfis,11
17,Kinxen,11
18,Bratra,11
17,Bradra,11
16,Bratha,11
16,Bramel,11
17,Braset,11
17,Braven,11
16,Bragut,11
16,Brapum,11
16,Bradam,11
19,Chazey,11
17,Chacaly,11
19,Chaafr,11
19,Chacha,11
19,Chadil,11
19,Chasen,11
18,Chanam,11
15,Rhamar,11
18,Rhatem,11
16,Rhaspe,11
16,BGA584,12
16,BGAA1,12
17,B11604,12
17,B983,12
15,BGA303,12
14,BGAB1,12
17,B11609,12
17,B11696,12
14,B3088,12
13,BGA709,12
13,BGA309,12
17,PGA445,12
21,CGA763,12
20,C601,12
21,CGA642,12
21,CGA429,12
21,C3125,12
20,Calboe,12
22,CGA236,12
19,CGA365,12
20,CGA494,12
21,CGA310,12
20,C984,12
21,CGA48,12
21,Cl11778,12
21,C404,12
20,C12265,12
21,C3126,12
21,CGA312,12
18,C3043,12
18,CGA364,12
19,CGA45,12
19,C2208,12
19,CGA311,12
19,CGA501,12
18,C3121,12
19,CGA453,12
20,C3118,12
20,Calparcri,12
18,FGA513,12
19,FGA456,12
19,FGA465,12
17,F12278,12
19,FGA331,12
19,Furant,12
19,FGA581,12
18,FGA15,12
20,FGA99,12
18,F2241,12
18,Furang,12
17,FGA490,12
19,Furpol,12
18,Furcep,12
19,F1476,12
19,FGA104,12
20,FGA489,12
19,F3015,12
20,FGA174,12
18,FurbGB,12
18,FGA379,12
21,Tribit,12
20,Trihoe,12
20,Trijac,12
20,Trijoh,12
19,Trimel,12
19,Triowe,12
22,Tricri,12
20,Triwie,12
20,Triqua,12
17,Kinboe,12
19,Kinfis,12
20,Kinxen,12
20,Bratra,12
20,Bradra,12
21,Bratha,12
21,Bramel,12
20,Braset,12
19,Braven,12
21,Bragut,12
20,Brapum,12
20,Bradam,12
21,Chazey,12
20,Chacaly,12
20,Chaafr,12
20,Chacha,12
19,Chadil,12
20,Chasen,12
20,Chanam,12
20,Rhamar,12
18,Rhatem,12
18,Rhaspe,12
22,BGA584,13
21,BGAA1,13
21,B11604,13
21,B983,13
22,BGA303,13
21,BGAB1,13
18,B11609,13
19,B11696,13
19,B3088,13
19,BGA709,13
18,BGA309,13
19,PGA445,13
17,CGA763,13
19,C601,13
18,CGA642,13
19,CGA429,13
19,C3125,13
19,Calboe,13
18,CGA236,13
20,CGA365,13
19,CGA494,13
17,CGA310,13
18,C984,13
20,CGA48,13
20,Cl11778,13
20,C404,13
18,C12265,13
19,C3126,13
19,CGA312,13
18,C3043,13
19,CGA364,13
20,CGA45,13
20,C2208,13
20,CGA311,13
21,CGA501,13
21,C3121,13
22,CGA453,13
22,C3118,13
22,Calparcri,13
16,FGA513,13
16,FGA456,13
17,FGA465,13
17,F12278,13
16,FGA331,13
16,Furant,13
18,FGA581,13
16,FGA15,13
16,FGA99,13
17,F2241,13
17,Furang,13
17,FGA490,13
16,Furpol,13
17,Furcep,13
15,F1476,13
18,FGA104,13
17,FGA489,13
17,F3015,13
19,FGA174,13
17,FurbGB,13
19,FGA379,13
16,Tribit,13
17,Trihoe,13
17,Trijac,13
16,Trijoh,13
16,Trimel,13
17,Triowe,13
18,Tricri,13
17,Triwie,13
15,Triqua,13
16,Kinboe,13
15,Kinfis,13
18,Kinxen,13
19,Bratra,13
19,Bradra,13
19,Bratha,13
19,Bramel,13
19,Braset,13
20,Braven,13
19,Bragut,13
20,Brapum,13
18,Bradam,13
18,Chazey,13
19,Chacaly,13
18,Chaafr,13
18,Chacha,13
19,Chadil,13
18,Chasen,13
18,Chanam,13
15,Rhamar,13
18,Rhatem,13
16,Rhaspe,13
18,BGA584,14
16,BGAA1,14
16,B11604,14
18,B983,14
21,BGA303,14
17,BGAB1,14
18,B11609,14
17,B11696,14
17,B3088,14
17,BGA709,14
17,BGA309,14
15,PGA445,14
17,CGA763,14
17,C601,14
17,CGA642,14
18,CGA429,14
18,C3125,14
17,Calboe,14
18,CGA236,14
17,CGA365,14
18,CGA494,14
18,CGA310,14
18,C984,14
18,CGA48,14
18,Cl11778,14
18,C404,14
16,C12265,14
18,C3126,14
19,CGA312,14
17,C3043,14
18,CGA364,14
19,CGA45,14
18,C2208,14
18,CGA311,14
17,CGA501,14
17,C3121,14
16,CGA453,14
15,C3118,14
14,Calparcri,14
16,FGA513,14
16,FGA456,14
17,FGA465,14
17,F12278,14
18,FGA331,14
17,Furant,14
17,FGA581,14
18,FGA15,14
17,FGA99,14
17,F2241,14
17,Furang,14
17,FGA490,14
16,Furpol,14
17,Furcep,14
17,F1476,14
18,FGA104,14
18,FGA489,14
14,F3015,14
16,FGA174,14
18,FurbGB,14
17,FGA379,14
18,Tribit,14
18,Trihoe,14
18,Trijac,14
19,Trijoh,14
19,Trimel,14
18,Triowe,14
17,Tricri,14
17,Triwie,14
18,Triqua,14
17,Kinboe,14
18,Kinfis,14
18,Kinxen,14
16,Bratra,14
16,Bradra,14
16,Bratha,14
16,Bramel,14
18,Braset,14
17,Braven,14
17,Bragut,14
18,Brapum,14
18,Bradam,14
18,Chazey,14
18,Chacaly,14
17,Chaafr,14
16,Chacha,14
17,Chadil,14
18,Chasen,14
18,Chanam,14
17,Rhamar,14
20,Rhatem,14
16,Rhaspe,14
16,BGA584,15
17,BGAA1,15
19,B11604,15
18,B983,15
18,BGA303,15
18,BGAB1,15
19,B11609,15
18,B11696,15
20,B3088,15
17,BGA709,15
18,BGA309,15
19,PGA445,15
14,CGA763,15
14,C601,15
14,CGA642,15
15,CGA429,15
17,C3125,15
16,Calboe,15
15,CGA236,15
15,CGA365,15
15,CGA494,15
15,CGA310,15
14,C984,15
15,CGA48,15
15,Cl11778,15
15,C404,15
15,C12265,15
15,C3126,15
15,CGA312,15
17,C3043,15
16,CGA364,15
14,CGA45,15
17,C2208,15
17,CGA311,15
17,CGA501,15
17,C3121,15
17,CGA453,15
18,C3118,15
18,Calparcri,15
16,FGA513,15
16,FGA456,15
16,FGA465,15
16,F12278,15
16,FGA331,15
16,Furant,15
16,FGA581,15
16,FGA15,15
17,FGA99,15
19,F2241,15
18,Furang,15
18,FGA490,15
16,Furpol,15
16,Furcep,15
15,F1476,15
15,FGA104,15
15,FGA489,15
17,F3015,15
15,FGA174,15
16,FurbGB,15
15,FGA379,15
16,Tribit,15
15,Trihoe,15
15,Trijac,15
16,Trijoh,15
18,Trimel,15
18,Triowe,15
18,Tricri,15
18,Triwie,15
19,Triqua,15
15,Kinboe,15
15,Kinfis,15
16,Kinxen,15
17,Bratra,15
17,Bradra,15
17,Bratha,15
17,Bramel,15
17,Braset,15
16,Braven,15
17,Bragut,15
15,Brapum,15
15,Bradam,15
16,Chazey,15
15,Chacaly,15
16,Chaafr,15
16,Chacha,15
16,Chadil,15
16,Chasen,15
17,Chanam,15
15,Rhamar,15
17,Rhatem,15
15,Rhaspe,15
18,BGA584,16
18,BGAA1,16
17,B11604,16
17,B983,16
17,BGA303,16
15,BGAB1,16
16,B11609,16
16,B11696,16
17,B3088,16
17,BGA709,16
13,BGA309,16
17,PGA445,16
21,CGA763,16
21,C601,16
21,CGA642,16
19,CGA429,16
19,C3125,16
17,Calboe,16
19,CGA236,16
16,CGA365,16
16,CGA494,16
17,CGA310,16
17,C984,16
18,CGA48,16
18,Cl11778,16
18,C404,16
19,C12265,16
17,C3126,16
15,CGA312,16
19,C3043,16
19,CGA364,16
19,CGA45,16
17,C2208,16
19,CGA311,16
18,CGA501,16
18,C3121,16
18,CGA453,16
18,C3118,16
18,Calparcri,16
16,FGA513,16
17,FGA456,16
17,FGA465,16
17,F12278,16
16,FGA331,16
17,Furant,16
18,FGA581,16
18,FGA15,16
18,FGA99,16
17,F2241,16
17,Furang,16
17,FGA490,16
18,Furpol,16
17,Furcep,16
17,F1476,16
18,FGA104,16
17,FGA489,16
17,F3015,16
17,FGA174,16
16,FurbGB,16
17,FGA379,16
18,Tribit,16
18,Trihoe,16
16,Trijac,16
16,Trijoh,16
16,Trimel,16
15,Triowe,16
19,Tricri,16
19,Triwie,16
17,Triqua,16
18,Kinboe,16
17,Kinfis,16
18,Kinxen,16
17,Bratra,16
17,Bradra,16
16,Bratha,16
16,Bramel,16
17,Braset,16
17,Braven,16
17,Bragut,16
17,Brapum,16
17,Bradam,16
