haploidn,tips,sim
14,Bradam,10
13,Leiolep,11
30,B3088,11
30,BGA709,11
30,BGA710,11
41,BGA309,11
29,B11696,11
29,B11697,11
29,B11609,11
29,BGA392,11
27,B985,11
27,B983,11
25,B199,11
25,BGAA3,11
25,B11604,11
25,BGA583,11
27,BGA89,11
27,BGA40,11
27,BGAA2,11
27,BGAA1,11
27,BGA584,11
27,BGA706,11
27,BGA304,11
27,BGA303,11
28,BGAB1,11
28,BGA7,11
30,PGA445,11
30,PGA363,11
30,Rhaspe,11
30,Rhamar,11
29,Rhatem,11
41,FGA379,11
41,F647,11
31,F3016,11
31,F3015,11
30,F1476,11
30,FGA81,11
30,Furcep,11
41,Furpol,11
30,F2241,11
30,F12266,11
30,Furang,11
30,Fga490,11
31,FGA456,11
30,FGA516,11
30,FGA513,11
30,F12278,11
30,F12279,11
30,Furant,11
31,FGA331,11
31,FGA332,11
30,FGA465,11
28,FGA99,11
28,F12269,11
29,FGA15,11
29,FGA440,11
29,FGA581,11
29,FGA582,11
30,FGA104,11
30,FGA105,11
31,FGA489,11
30,FGA174,11
30,FGA175,11
39,FurbGB,11
31,CGA312,11
31,CGA963,11
30,CGA642,11
29,CGA763,11
29,CGA764,11
29,C601,11
29,C602,11
41,CGA236,11
31,Calboe,11
41,C3125,11
31,CGA429,11
31,CGA430,11
29,C985,11
29,C984,11
29,CGA310,11
29,CGA314,11
28,CGA382,11
28,CGA365,11
28,CGA494,11
28,CGA495,11
30,C12265,11
29,C404,11
28,Cl11778,11
28,Cl11779,11
29,CGA594,11
28,CGA48,11
28,C3134,11
28,C3126,11
29,CGA311,11
30,CGA45,11
30,CGA46,11
29,C3043,11
30,CGA87,11
30,CGA368,11
30,CGA557,11
30,CGA364,11
30,C2208,11
30,CGA453,11
30,CGA383,11
30,CGA501,11
30,C11776,11
41,C3121,11
41,C3123,11
30,Calparcri,11
30,C3118,11
41,Triowe,11
41,Trijoh,11
40,Trimel,11
30,Trihoe,11
30,Tribit,11
30,Trijac,11
29,Tricri,11
29,Triwie,11
29,Triqua,11
32,Kinboe,11
30,Kinfis,11
32,Kinxen,11
30,Chaafr,11
29,Chacha,11
30,Chacaly,11
30,Chazey,11
32,Chadil,11
41,Chasen,11
32,Chanam,11
32,Riebrev,11
29,Braset,11
29,Bramel,11
29,Bratha,11
30,Bradra,11
29,Bratra,11
29,Bragut,11
29,Braven,11
29,Brapum,11
28,Bradam,11
13,Leiolep,12
13,B3088,12
10,BGA709,12
10,BGA710,12
11,BGA309,12
12,B11696,12
12,B11697,12
11,B11609,12
11,BGA392,12
11,B985,12
11,B983,12
9,B199,12
9,BGAA3,12
10,B11604,12
10,BGA583,12
10,BGA89,12
10,BGA40,12
10,BGAA2,12
10,BGAA1,12
11,BGA584,12
11,BGA706,12
11,BGA304,12
11,BGA303,12
11,BGAB1,12
11,BGA7,12
12,PGA445,12
12,PGA363,12
11,Rhaspe,12
17,Rhamar,12
10,Rhatem,12
11,FGA379,12
11,F647,12
27,F3016,12
27,F3015,12
17,F1476,12
17,FGA81,12
18,Furcep,12
17,Furpol,12
