haploidn,tips,sim
18,BGA89,13
18,B11604,13
18,B199,13
18,B985,13
17,B11609,13
17,B11696,13
18,BGA309,13
17,BGA709,13
16,B3088,13
14,Bradam,13
14,Brapum,13
13,Braven,13
13,Bragut,13
13,Bratra,13
13,Bradra,13
13,Bratha,13
13,Bramel,13
14,Braset,13
18,Chanam,13
16,Chasen,13
16,Chadil,13
16,Chazey,13
16,Chacaly,13
16,Chacha,13
16,Chaafr,13
16,Kinxen,13
15,Kinfis,13
14,Kinboe,13
17,Triqua,13
17,Triwie,13
16,Tricri,13
16,Trijac,13
16,Tribit,13
16,Trihoe,13
17,Trimel,13
14,Trijoh,13
16,Triowe,13
13,Calparcri,13
14,C3121,13
14,CGA501,13
14,CGA453,13
17,C2208,13
17,CGA364,13
17,CGA368,13
15,C3043,13
17,CGA45,13
17,CGA311,13
19,C3134,13
19,CGA594,13
20,Cl11778,13
20,C404,13
19,C12265,13
21,CGA494,13
18,CGA382,13
19,CGA310,13
20,C985,13
20,CGA429,13
19,C3125,13
20,Calboe,13
20,CGA236,13
19,C601,13
20,CGA763,13
21,CGA642,13
20,CGA312,13
17,FurbGB,13
17,FGA174,13
17,FGA489,13
18,FGA104,13
18,FGA581,13
18,FGA15,13
18,FGA99,13
19,FGA465,13
17,FGA331,13
19,Furant,13
18,F12278,13
18,FGA516,13
18,FGA456,13
19,FGA490,13
19,Furang,13
19,F2241,13
18,Furpol,13
18,Furcep,13
18,F1476,13
16,F3016,13
13,FGA379,13
17,Rhatem,13
19,Rhamar,13
18,Rhaspe,13
16,PGA445,14
18,BGAB1,14
18,BGA304,14
19,BGA584,14
19,BGAA2,14
17,BGA89,14
18,B11604,14
18,B199,14
18,B985,14
20,B11609,14
19,B11696,14
18,BGA309,14
19,BGA709,14
18,B3088,14
18,Bradam,14
16,Brapum,14
17,Braven,14
17,Bragut,14
15,Bratra,14
15,Bradra,14
18,Bratha,14
17,Bramel,14
15,Braset,14
17,Chanam,14
17,Chasen,14
18,Chadil,14
17,Chazey,14
17,Chacaly,14
16,Chacha,14
17,Chaafr,14
18,Kinxen,14
17,Kinfis,14
18,Kinboe,14
17,Triqua,14
17,Triwie,14
16,Tricri,14
18,Trijac,14
18,Tribit,14
18,Trihoe,14
16,Trimel,14
17,Trijoh,14
17,Triowe,14
15,Calparcri,14
14,C3121,14
15,CGA501,14
15,CGA453,14
19,C2208,14
18,CGA364,14
17,CGA368,14
17,C3043,14
16,CGA45,14
18,CGA311,14
16,C3134,14
16,CGA594,14
15,Cl11778,14
16,C404,14
16,C12265,14
16,CGA494,14
17,CGA382,14
18,CGA310,14
17,C985,14
17,CGA429,14
16,C3125,14
18,Calboe,14
17,CGA236,14
17,C601,14
17,CGA763,14
16,CGA642,14
16,CGA312,14
18,FurbGB,14
18,FGA174,14
18,FGA489,14
18,FGA104,14
18,FGA581,14
18,FGA15,14
19,FGA99,14
18,FGA465,14
18,FGA331,14
18,Furant,14
19,F12278,14
18,FGA516,14
18,FGA456,14
17,FGA490,14
16,Furang,14
16,F2241,14
16,Furpol,14
18,Furcep,14
18,F1476,14
17,F3016,14
19,FGA379,14
18,Rhatem,14
17,Rhamar,14
15,Rhaspe,14
17,PGA445,15
19,BGAB1,15
19,BGA304,15
16,BGA584,15
19,BGAA2,15
18,BGA89,15
18,B11604,15
18,B199,15
18,B985,15
17,B11609,15
18,B11696,15
19,BGA309,15
17,BGA709,15
17,B3088,15
16,Bradam,15
16,Brapum,15
16,Braven,15
16,Bragut,15
16,Bratra,15
16,Bradra,15
16,Bratha,15
16,Bramel,15
17,Braset,15
16,Chanam,15
17,Chasen,15
17,Chadil,15
16,Chazey,15
17,Chacaly,15
17,Chacha,15
17,Chaafr,15
14,Kinxen,15
15,Kinfis,15
13,Kinboe,15
16,Triqua,15
16,Triwie,15
16,Tricri,15
16,Trijac,15
15,Tribit,15
16,Trihoe,15
14,Trimel,15
16,Trijoh,15
14,Triowe,15
16,Calparcri,15
17,C3121,15
17,CGA501,15
17,CGA453,15
13,C2208,15
13,CGA364,15
13,CGA368,15
12,C3043,15
12,CGA45,15
11,CGA311,15
15,C3134,15
15,CGA594,15
15,Cl11778,15
15,C404,15
15,C12265,15
16,CGA494,15
17,CGA382,15
16,CGA310,15
16,C985,15
16,CGA429,15
15,C3125,15
15,Calboe,15
15,CGA236,15
16,C601,15
16,CGA763,15
15,CGA642,15
15,CGA312,15
16,FurbGB,15
16,FGA174,15
15,FGA489,15
17,FGA104,15
18,FGA581,15
18,FGA15,15
18,FGA99,15
16,FGA465,15
16,FGA331,15
17,Furant,15
16,F12278,15
16,FGA516,15
17,FGA456,15
15,FGA490,15
17,Furang,15
18,F2241,15
18,Furpol,15
17,Furcep,15
17,F1476,15
