haploidn,tips,sim
18,C11776,9
18,CGA501,9
18,C3123,9
18,C3121,9
18,CGA453,9
18,CGA383,9
17,C3118,9
17,Calparcri,9
17,FGA516,9
17,FGA513,9
17,FGA456,9
17,FGA465,9
14,F12279,9
14,F12278,9
17,FGA332,9
17,FGA331,9
16,Furant,9
17,FGA582,9
17,FGA581,9
16,FGA440,9
16,FGA15,9
16,F12269,9
16,FGA99,9
16,F12266,9
16,F2241,9
16,Furang,9
15,FGA490,9
15,Furpol,9
17,Furcep,9
17,F1476,9
17,FGA81,9
19,FGA105,9
19,FGA104,9
19,FGA489,9
17,F3016,9
17,F3015,9
17,FGA175,9
17,FGA174,9
19,FurbGB,9
21,F647,9
21,FGA379,9
20,Tribit,9
20,Trihoe,9
20,Trijac,9
20,Trijoh,9
20,Trimel,9
20,Triowe,9
20,Tricri,9
20,Triwie,9
20,Triqua,9
16,Kinboe,9
17,Kinfis,9
19,Kinxen,9
19,Bratra,9
19,Bradra,9
19,Bratha,9
19,Bramel,9
19,Braset,9
18,Braven,9
19,Bragut,9
19,Brapum,9
19,Bradam,9
19,Chazey,9
19,Chacaly,9
19,Chaafr,9
19,Chacha,9
19,Chadil,9
19,Chasen,9
19,Chanam,9
18,Rhamar,9
18,Rhatem,9
16,Rhaspe,9
15,BGA706,10
15,BGA584,10
16,BGAA2,10
16,BGAA1,10
16,BGA40,10
16,BGA89,10
16,B11604,10
16,BGA583,10
16,BGAA3,10
16,B199,10
17,B983,10
17,B985,10
18,BGA304,10
18,BGA303,10
15,BGAB1,10
15,BGA7,10
16,B11609,10
17,BGA392,10
16,B11697,10
16,B11696,10
17,B3088,10
16,BGA710,10
16,BGA709,10
14,BGA309,10
12,PGA445,10
12,PGA363,10
17,CGA764,10
17,CGA763,10
17,C602,10
17,C601,10
18,CGA642,10
19,CGA430,10
19,CGA429,10
17,C3125,10
18,Calboe,10
18,CGA236,10
18,CGA382,10
18,CGA365,10
18,CGA495,10
18,CGA494,10
19,CGA314,10
19,CGA310,10
16,C985,10
16,C984,10
18,CGA594,10
18,CGA48,10
18,Cl11779,10
18,Cl11778,10
17,C404,10
19,C12265,10
17,C3126,10
17,C3134,10
18,CGA963,10
18,CGA312,10
16,CGA87,10
16,C3043,10
16,CGA557,10
16,CGA368,10
17,CGA364,10
17,CGA46,10
17,CGA45,10
17,C2208,10
18,CGA311,10
19,C11776,10
19,CGA501,10
20,C3123,10
20,C3121,10
19,CGA453,10
19,CGA383,10
18,C3118,10
17,Calparcri,10
15,FGA516,10
15,FGA513,10
15,FGA456,10
14,FGA465,10
16,F12279,10
16,F12278,10
14,FGA332,10
14,FGA331,10
15,Furant,10
15,FGA582,10
15,FGA581,10
14,FGA440,10
14,FGA15,10
15,F12269,10
15,FGA99,10
13,F12266,10
14,F2241,10
13,Furang,10
14,FGA490,10
14,Furpol,10
15,Furcep,10
15,F1476,10
15,FGA81,10
14,FGA105,10
14,FGA104,10
14,FGA489,10
14,F3016,10
14,F3015,10
16,FGA175,10
16,FGA174,10
17,FurbGB,10
16,F647,10
16,FGA379,10
17,Tribit,10
17,Trihoe,10
18,Trijac,10
19,Trijoh,10
16,Trimel,10
17,Triowe,10
18,Tricri,10
18,Triwie,10
18,Triqua,10
14,Kinboe,10
15,Kinfis,10
17,Kinxen,10
17,Bratra,10
17,Bradra,10
16,Bratha,10
16,Bramel,10
17,Braset,10
17,Braven,10
18,Bragut,10
17,Brapum,10
17,Bradam,10
18,Chazey,10
18,Chacaly,10
17,Chaafr,10
16,Chacha,10
19,Chadil,10
18,Chasen,10
17,Chanam,10
17,Rhamar,10
16,Rhatem,10
16,Rhaspe,10
15,BGA706,11
15,BGA584,11
15,BGAA2,11
15,BGAA1,11
15,BGA40,11
16,BGA89,11
16,B11604,11
16,BGA583,11
16,BGAA3,11
16,B199,11
17,B983,11
17,B985,11
18,BGA304,11
18,BGA303,11
18,BGAB1,11
18,BGA7,11
17,B11609,11
17,BGA392,11
17,B11697,11
17,B11696,11
16,B3088,11
17,BGA710,11
17,BGA709,11
17,BGA309,11
17,PGA445,11
17,PGA363,11
18,CGA764,11
18,CGA763,11
18,C602,11
18,C601,11
18,CGA642,11
18,CGA430,11
18,CGA429,11
18,C3125,11
18,Calboe,11
18,CGA236,11
18,CGA382,11
18,CGA365,11
17,CGA495,11
17,CGA494,11
19,CGA314,11
19,CGA310,11
18,C985,11
18,C984,11
17,CGA594,11
17,CGA48,11
17,Cl11779,11
17,Cl11778,11
17,C404,11
18,C12265,11
17,C3126,11
17,C3134,11
18,CGA963,11
18,CGA312,11
19,CGA87,11
19,C3043,11
19,CGA557,11
19,CGA368,11
19,CGA364,11
19,CGA46,11
19,CGA45,11
